Source,Target,Type,Id,Tweet_type,Tweet_Sentiment_Group,Media_included,Source_device,Retweet_count,Like_count,Time,Weight
9044,2857,Directed,186,retweeted,Neutral,Yes,Android,195,0,2022-06-05 13:41:33+00:00,1
10302,2857,Directed,187,retweeted,Neutral,Yes,Android,195,0,2022-06-05 01:28:49+00:00,1
2448,2857,Directed,188,retweeted,Neutral,Yes,Android,195,0,2022-06-04 23:25:44+00:00,1
10848,2857,Directed,189,retweeted,Neutral,Yes,iphone,195,0,2022-06-04 23:22:04+00:00,1
4894,2857,Directed,190,retweeted,Neutral,Yes,Android,195,0,2022-06-04 23:17:02+00:00,1
2760,2857,Directed,191,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 20:28:23+00:00,1
9352,11240,Directed,192,quoted,Neutral,Yes,Android,0,2,2022-06-04 20:01:25+00:00,1
2942,0,Directed,193,Tweet,Neutral,Yes,Web-App,13,68,2022-06-04 19:04:24+00:00,1
1654,2857,Directed,194,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 17:48:44+00:00,1
5082,2857,Directed,195,retweeted,Neutral,Yes,iphone,195,0,2022-06-04 17:41:42+00:00,1
5107,1654,Directed,196,retweeted,Positive,Yes,iphone,6,0,2022-06-04 17:23:20+00:00,1
2646,11240,Directed,197,quoted,Neutral,Yes,Web-App,0,5,2022-06-04 16:56:08+00:00,1
1308,1654,Directed,198,retweeted,Positive,Yes,Android,6,0,2022-06-04 16:22:09+00:00,1
1308,1654,Directed,199,retweeted,Neutral,Yes,Android,1,0,2022-06-04 16:21:53+00:00,1
1654,1654,Directed,200,quoted,Positive,Yes,Web-App,6,27,2022-06-04 16:13:25+00:00,1
1654,7571,Directed,201,quoted,Neutral,Yes,Web-App,1,11,2022-06-04 16:06:45+00:00,1
609,2857,Directed,202,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 15:38:28+00:00,1
2104,2857,Directed,203,retweeted,Neutral,Yes,Android,195,0,2022-06-04 15:10:21+00:00,1
10506,2857,Directed,204,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 14:52:28+00:00,1
6552,5107,Directed,205,retweeted,Positive,Yes,Android,71,0,2022-06-04 14:46:25+00:00,1
6552,2857,Directed,206,retweeted,Neutral,Yes,Android,195,0,2022-06-04 14:46:17+00:00,1
3856,2857,Directed,207,retweeted,Neutral,Yes,iphone,195,0,2022-06-04 14:12:10+00:00,1
2697,2857,Directed,208,retweeted,Neutral,Yes,Android,195,0,2022-06-04 13:59:59+00:00,1
3526,2857,Directed,209,retweeted,Neutral,Yes,Android,195,0,2022-06-04 13:58:30+00:00,1
3683,2857,Directed,210,retweeted,Neutral,Yes,Android,195,0,2022-06-04 13:12:49+00:00,1
2635,2857,Directed,211,retweeted,Neutral,Yes,Android,195,0,2022-06-04 13:05:57+00:00,1
3595,2857,Directed,212,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 13:02:29+00:00,1
5166,2857,Directed,213,retweeted,Neutral,Yes,Android,195,0,2022-06-04 13:01:38+00:00,1
663,2857,Directed,214,retweeted,Neutral,Yes,Android,195,0,2022-06-04 12:52:00+00:00,1
9775,2857,Directed,215,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 12:51:27+00:00,1
7311,2857,Directed,216,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 12:49:37+00:00,1
4476,2857,Directed,217,retweeted,Neutral,Yes,Android,195,0,2022-06-04 12:26:11+00:00,1
5263,2857,Directed,218,retweeted,Neutral,Yes,Android,195,0,2022-06-04 11:33:05+00:00,1
11817,2857,Directed,219,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 11:27:59+00:00,1
11987,2857,Directed,220,retweeted,Neutral,Yes,Android,195,0,2022-06-04 10:23:08+00:00,1
808,2857,Directed,221,retweeted,Neutral,Yes,Android,195,0,2022-06-04 09:45:27+00:00,1
4531,2857,Directed,222,retweeted,Neutral,Yes,Android,195,0,2022-06-04 09:03:33+00:00,1
7993,2857,Directed,223,retweeted,Neutral,Yes,iphone,195,0,2022-06-04 09:03:23+00:00,1
8509,2857,Directed,224,retweeted,Neutral,Yes,Android,195,0,2022-06-04 08:33:40+00:00,1
2838,2857,Directed,225,retweeted,Neutral,Yes,Web-App,195,0,2022-06-04 08:06:41+00:00,1
9836,2857,Directed,226,retweeted,Neutral,Yes,Android,195,0,2022-06-04 07:54:53+00:00,1
12258,2857,Directed,227,retweeted,Neutral,Yes,Android,195,0,2022-06-04 07:48:12+00:00,1
11483,2857,Directed,228,retweeted,Neutral,Yes,Android,195,0,2022-06-04 07:44:11+00:00,1
